epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4646,5.19162,13.6481,3.18266,3e-05,0.00704,1e-05,0,7.00616,753.61,4.29412,0.000662835,0.000662835,0.000662835
2,75.9061,6.08922,7.95357,3.58218,3e-05,0.00704,1e-05,0,7.40011,inf,23.4249,0.00132424,0.00132424,0.00132424
3,110.221,6.40113,8.42852,3.66565,3e-05,0.00704,1e-05,0,nan,nan,nan,0.00198036,0.00198036,0.00198036
4,144.554,6.18756,8.34232,3.53948,0.00303,0.09155,0.00179,0.00047,6.53041,8.96759,3.94905,0.00197624,0.00197624,0.00197624
5,178.768,6.00222,8.06223,3.43789,0.00581,0.00704,0.00117,0.00029,6.47083,11.4711,3.34889,0.00196832,0.00196832,0.00196832
6,212.795,5.93569,7.63204,3.46307,0.06971,0.01408,0.00707,0.00156,5.85126,8.45368,3.12453,0.0019604,0.0019604,0.0019604
7,247.014,5.89491,7.30119,3.3957,0.02307,0.00704,0.00338,0.00092,6.25622,13.1097,3.38593,0.00195248,0.00195248,0.00195248
8,281.027,5.66516,7.15781,3.35345,0.01096,0.14085,0.00601,0.00144,6.5545,10.1286,3.41114,0.00194456,0.00194456,0.00194456
9,315.001,5.52674,6.85535,3.31483,0.00329,0.14085,0.00226,0.00061,6.59777,9.30418,3.53909,0.00193664,0.00193664,0.00193664
10,348.866,5.56518,6.7092,3.20928,0.01152,0.06338,0.0046,0.00123,6.44177,8.47046,3.27202,0.00192872,0.00192872,0.00192872
11,382.781,5.36034,6.25801,3.08289,0.01171,0.09155,0.00671,0.00194,6.09142,8.2633,3.17521,0.0019208,0.0019208,0.0019208
12,416.797,5.06832,5.77428,3.01292,0.04603,0.03521,0.01281,0.00318,5.91907,7.57628,3.25747,0.00191288,0.00191288,0.00191288
13,450.885,5.03838,5.88507,2.99639,0.01088,0.33803,0.01133,0.00291,6.38233,7.26961,3.32019,0.00190496,0.00190496,0.00190496
14,484.867,4.93359,5.74712,2.98813,0.03883,0.02113,0.01004,0.00246,5.99939,7.65842,3.39232,0.00189704,0.00189704,0.00189704
15,518.985,5.09925,5.71723,3.03258,0.00917,0.44366,0.01245,0.00301,5.98453,6.61333,3.07114,0.00188912,0.00188912,0.00188912
16,553.001,4.79023,5.47721,2.94394,0.00761,0.51408,0.01033,0.00248,5.83104,8.23717,3.20682,0.0018812,0.0018812,0.0018812
17,587.074,4.81012,5.28359,2.89379,0.02016,0.27465,0.01204,0.00303,5.70783,8.7767,3.1742,0.00187328,0.00187328,0.00187328
18,621.181,4.63084,5.1124,2.84808,0.01027,0.51408,0.0164,0.00455,5.83884,6.58574,3.38065,0.00186536,0.00186536,0.00186536
19,655.349,4.61123,4.93131,2.84038,0.0595,0.04225,0.03052,0.00875,5.70467,6.66442,3.21242,0.00185744,0.00185744,0.00185744
20,689.786,4.4364,4.78135,2.78896,0.07258,0.02817,0.0208,0.0052,5.62675,6.62162,3.20797,0.00184952,0.00184952,0.00184952
