2024-02-28 21:05:49,050 INFO    StreamThr :28640 [internal.py:wandb_internal():86] W&B internal server running at pid: 28640, started at: 2024-02-28 21:05:49.049884
2024-02-28 21:05:49,050 DEBUG   HandlerThread:28640 [handler.py:handle_request():146] handle_request: status
2024-02-28 21:05:49,051 INFO    WriterThread:28640 [datastore.py:open_for_write():87] open: /home/dofa/Desktop/code/PMC/wandb/run-20240228_210549-px5zir0r/run-px5zir0r.wandb
2024-02-28 21:05:49,052 DEBUG   SenderThread:28640 [sender.py:send():382] send: header
2024-02-28 21:05:49,052 DEBUG   SenderThread:28640 [sender.py:send():382] send: run
2024-02-28 21:05:49,385 INFO    SenderThread:28640 [dir_watcher.py:__init__():211] watching files in: /home/dofa/Desktop/code/PMC/wandb/run-20240228_210549-px5zir0r/files
2024-02-28 21:05:49,385 INFO    SenderThread:28640 [sender.py:_start_run_threads():1136] run started: px5zir0r with start time 1709172349.049584
2024-02-28 21:05:49,390 DEBUG   HandlerThread:28640 [handler.py:handle_request():146] handle_request: check_version
2024-02-28 21:05:49,390 DEBUG   SenderThread:28640 [sender.py:send_request():409] send_request: check_version
2024-02-28 21:05:49,489 DEBUG   HandlerThread:28640 [handler.py:handle_request():146] handle_request: run_start
2024-02-28 21:05:49,498 DEBUG   HandlerThread:28640 [system_info.py:__init__():27] System info init
2024-02-28 21:05:49,498 DEBUG   HandlerThread:28640 [system_info.py:__init__():42] System info init done
2024-02-28 21:05:49,498 INFO    HandlerThread:28640 [system_monitor.py:start():194] Starting system monitor
2024-02-28 21:05:49,498 INFO    SystemMonitor:28640 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-28 21:05:49,498 INFO    HandlerThread:28640 [system_monitor.py:probe():214] Collecting system info
2024-02-28 21:05:49,498 INFO    SystemMonitor:28640 [interfaces.py:start():190] Started cpu monitoring
2024-02-28 21:05:49,499 INFO    SystemMonitor:28640 [interfaces.py:start():190] Started disk monitoring
2024-02-28 21:05:49,499 INFO    SystemMonitor:28640 [interfaces.py:start():190] Started gpu monitoring
2024-02-28 21:05:49,499 INFO    SystemMonitor:28640 [interfaces.py:start():190] Started memory monitoring
2024-02-28 21:05:49,499 INFO    SystemMonitor:28640 [interfaces.py:start():190] Started network monitoring
2024-02-28 21:05:49,507 DEBUG   HandlerThread:28640 [system_info.py:probe():151] Probing system
2024-02-28 21:05:49,508 DEBUG   HandlerThread:28640 [system_info.py:_probe_git():136] Probing git
2024-02-28 21:05:49,511 DEBUG   HandlerThread:28640 [system_info.py:_probe_git():144] Probing git done
2024-02-28 21:05:49,511 DEBUG   HandlerThread:28640 [system_info.py:probe():199] Probing system done
