2024-02-28 21:07:32,510 INFO    StreamThr :29121 [internal.py:wandb_internal():86] W&B internal server running at pid: 29121, started at: 2024-02-28 21:07:32.510212
2024-02-28 21:07:32,511 DEBUG   HandlerThread:29121 [handler.py:handle_request():146] handle_request: status
2024-02-28 21:07:32,512 INFO    WriterThread:29121 [datastore.py:open_for_write():87] open: /home/dofa/Desktop/code/PMC/wandb/run-20240228_210732-3j9sdaua/run-3j9sdaua.wandb
2024-02-28 21:07:32,512 DEBUG   SenderThread:29121 [sender.py:send():382] send: header
2024-02-28 21:07:32,512 DEBUG   SenderThread:29121 [sender.py:send():382] send: run
2024-02-28 21:07:32,836 INFO    SenderThread:29121 [dir_watcher.py:__init__():211] watching files in: /home/dofa/Desktop/code/PMC/wandb/run-20240228_210732-3j9sdaua/files
2024-02-28 21:07:32,836 INFO    SenderThread:29121 [sender.py:_start_run_threads():1136] run started: 3j9sdaua with start time 1709172452.509956
2024-02-28 21:07:32,839 DEBUG   HandlerThread:29121 [handler.py:handle_request():146] handle_request: check_version
2024-02-28 21:07:32,839 DEBUG   SenderThread:29121 [sender.py:send_request():409] send_request: check_version
2024-02-28 21:07:32,949 DEBUG   HandlerThread:29121 [handler.py:handle_request():146] handle_request: run_start
2024-02-28 21:07:32,958 DEBUG   HandlerThread:29121 [system_info.py:__init__():27] System info init
2024-02-28 21:07:32,958 DEBUG   HandlerThread:29121 [system_info.py:__init__():42] System info init done
2024-02-28 21:07:32,958 INFO    HandlerThread:29121 [system_monitor.py:start():194] Starting system monitor
2024-02-28 21:07:32,958 INFO    SystemMonitor:29121 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-28 21:07:32,958 INFO    HandlerThread:29121 [system_monitor.py:probe():214] Collecting system info
2024-02-28 21:07:32,958 INFO    SystemMonitor:29121 [interfaces.py:start():190] Started cpu monitoring
2024-02-28 21:07:32,958 INFO    SystemMonitor:29121 [interfaces.py:start():190] Started disk monitoring
2024-02-28 21:07:32,959 INFO    SystemMonitor:29121 [interfaces.py:start():190] Started gpu monitoring
2024-02-28 21:07:32,959 INFO    SystemMonitor:29121 [interfaces.py:start():190] Started memory monitoring
2024-02-28 21:07:32,959 INFO    SystemMonitor:29121 [interfaces.py:start():190] Started network monitoring
2024-02-28 21:07:32,967 DEBUG   HandlerThread:29121 [system_info.py:probe():151] Probing system
2024-02-28 21:07:32,968 DEBUG   HandlerThread:29121 [system_info.py:_probe_git():136] Probing git
2024-02-28 21:07:32,970 DEBUG   HandlerThread:29121 [system_info.py:_probe_git():144] Probing git done
2024-02-28 21:07:32,970 DEBUG   HandlerThread:29121 [system_info.py:probe():199] Probing system done
